取得日時,取得URL,名称,住所,TEL,設立,資本金,年商,部署,従業員,事業
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/rakutenseimei,楽天生命保険株式会社,東京都港区南青山二丁目6番21号 楽天クリムゾンハウス青山,,2007年10月1日,100億円（資本準備金25億円を含む）,,営業推進本部,,生命保険業 スーパー終身保険、スーパー定期保険、スーパーたよれる定期保険、定期保険、長期逓減定期保険、スーパー医療保険、スーパー医療保険戻るんです、医療保険1095α、スーパーたよれる医療保険、安心プラス、生活習慣病保険、災害補償保険、スーパーがん保険、スーパー2000、など
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/roota1,株式会社RooT-A,東京都新宿区西新宿8-15-17 住友不動産西新宿ビル2号館4階,,2021年7月,"9,000,000円",,代理店事業部,,携帯電話の販売 インターネット回線の販売 ライフライン事業 アライアンス事業
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/meotown,Alive Japan合同会社,東京都渋谷区渋谷2-19-15 宮益坂ビルディング6​09,,2022年1月4日,,,パートナー事業部,,SEO・MEO対策事業 webサイト制作・運営事業 webコンサルティング事業 決済システム取次事業 SNS運用コンサルティング事業 営業代行事業 広告代理・宣伝事業
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/miraiaist,株式会社ソフツー,東京都中央区築地1丁目13-14 NBF東銀座スクエア7F,,2008年7月8日,"2,000万円",,パートナー事業,,・クラウド型コールセンターシステムサービス事業 クラウド型CTIアプリケーションBlueBeanの開発・販売やOEM提供 ・AI電話自動応答・取り次ぎサービスの開発及び提供 クラウドAI電話アプリケーションミライAIの開発・販売 ・ホテル用電話機販売事業 ホテル客室・ロビー用アナログ/SIP電話機の販売
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/hojokuru,株式会社Rich Heart,大阪府大阪市北区西天満1-10-16 KSビル別館2階,,2017年11月7日,"2,000万円",,公的資金支援サービス事業部,60名（2023年10月現在）,公的資金支援サービス事業 人材派遣事業 アウトソーシング事業 有料職業紹介事業 WEBサービス事業
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/sypcthemeo,株式会社SYPHERCREATION,大阪府大阪市北区梅田2-4-9 ブリーゼタワー2F,,2023年1月20日,,1億円,営業本部,,MEO対策代行事業 Web制作事業 マーケティング事業 コールセンター事業 インフルエンサーマッチング事業
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/fls-webfuri,株式会社フォーライフシステム,大阪府大阪市中央区安土町1丁目6-14 朝日生命辰野ビル8F,,1997年10月1日,"3,500万円",,WFC事業部,,振込代行サービス業務
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/babysitter-hoikuen-mgoose,株式会社マザーグース,神奈川県茅ヶ崎市美住町2-10,,1994年2月4日,300万円,2億円,,,ベビーシッター請負業小規模保育園の運営 人材派遣・院内保育室
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/tensyokurecruittheone,株式会社The One,東京都中央区銀座7-13-20 銀座THビル9階,,2023年4月,"8,500,000円",,代理店募集事業部,,転職リクルーティング支援事業 不動産コンサルティング事業 婚活支援事業
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/onebenees,株式会社The One,東京都中央区銀座7-13-20 銀座THビル9階,,2023年4月,"8,500,000円",,代理店募集事業部,,転職リクルーティング支援事業 不動産コンサルティング事業 婚活支援事業
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/kuchikomittohl,株式会社HUMAN LIFE,東京都新宿区新宿2-16-6 新宿イーストスクエアビル3F,,2018年12月3日,1億3650万円（2025年1月31日現在）,,パートナー事業部,128名（2023年2月1日現在）,情報通信サービスを基盤としたテレコム事業及び サービス&ソリューション事業 インターネット接続サービスの提供
2025/11/05 11:37:33,https://bahn-rep.com/dairiten-bosyu/emcdenki,エルメック株式会社,大阪市西区江戸堀1-23-13 肥後橋ビル3号館1103,,,2000万円,,パートナー事業部,,電力小売事業 再生可能エネルギーの開発・運営 防災一式販売
2025/11/05 11:37:33,https://bahn-rep.com/dairiten-bosyu/greenpocket,国土緑化株式会社,東京都江戸川区中央2-1-21,,1977年（昭和52年）8月2日,"80,000,000円",,,75名（2024年6月現在）,総合緑化事業 ・観葉植物のレンタル ・生花販売 ・造園、解体工事 ・緑のレンタルFC「グリーン・ポケット」本部の運営
2025/11/05 11:37:33,https://bahn-rep.com/dairiten-bosyu/usenuair,株式会社USEN （USEN-NEXT GROUP）,東京都品川区上大崎3-1-1 目黒セントラルスクエア,,2017年6月16日,"9,641万円（グループ資本金）","1,932億円（2020年8月期連結）",,"4,845名（2020年8月期連結）",IoT PLATFORM事業 音楽配信事業 エネルギー事業 保険事業 開業、増移転支援サービス 店舗運用支援サービス 店舗通販サービス
2025/11/05 11:37:33,https://bahn-rep.com/dairiten-bosyu/plhikarigrpsougou,株式会社パートナーリンク 株主：株式会社HBD（光通信グループ）,東京都豊島区西池袋1-4-10 光ウエストゲートビル,,2024年6月5日,,,パートナー事業部,,販売代理店の紹介、斡旋業務 営業、マーケティングに関する支援、コンサルティング業務 ビジネスマッチング業務 コールセンターの運営、管理 情報提供サービス業
2025/11/05 11:37:33,https://bahn-rep.com/dairiten-bosyu/midsrskrngbz,合同会社アセンディア,東京都渋谷区道玄坂1-10-8 渋谷道玄坂東急ビル2F-C,,,,,パートナー事業部,,情報提供サービス・情報処理サービス業務 各種コンサルティング業務 マーケティング活動の企画・実施・支援 広告業及び広告代理店業
2025/11/05 11:37:33,https://bahn-rep.com/dairiten-bosyu/htbenergy,HTBエナジー株式会社,東京都豊島区西池袋一丁目4番10号,,2015年2月2日,10百万円,,パートナー事業部,,電力小売り事業（小売電気事業者登録番号：A0172）
2025/11/05 11:37:33,https://bahn-rep.com/dairiten-bosyu/gsapo,株式会社B-team,東京都千代田区丸の内1-8-1 Marunouchi Trust Tower N館19階,,2020年11月,,,Gサポパートナー事業部,,風評被害対策 Googleマイビジネス口コミ非表示対策
2025/11/05 11:37:33,https://bahn-rep.com/dairiten-bosyu/trende,TRENDE株式会社,東京都千代田区東神田1-16-7 東神田プラザビル2F,,2017年8月,"1,052,123,900円",,,,小売電気事業（小売事業者登録番号：A0455） 主要株主：伊藤忠商事株式会社、出光興産株式会社、Jumeirah Energy International Capital Holding（Dubai Electricity and Water Authorityの100%子会社）
2025/11/05 11:37:33,https://bahn-rep.com/dairiten-bosyu/umusic,株式会社USEN （USEN-NEXT GROUP）,東京都品川区上大崎3-1-1 目黒セントラルスクエア,,2017年6月16日,"9,641万円（グループ資本金）","1,932億円（2020年8月期連結）",,"4,845名（2020年8月期連結）",IoT PLATFORM事業 音楽配信事業 エネルギー事業 保険事業 開業、増移転支援サービス 店舗運用支援サービス 店舗通販サービス
2025/11/05 11:37:33,https://bahn-rep.com/dairiten-bosyu/olivehoken,ナローピークグループ（オリーブ少額短期保険株式会社）,東京都新宿区新宿5-17-18 H&Iビル,,1999年12月15日,100百万円,,代理店事業部,760名（連結）,少額短期保険業、損害保険代理店事業
2025/11/05 11:37:33,https://bahn-rep.com/dairiten-bosyu/btgsapo2,株式会社B-team,東京都千代田区丸の内1-8-1 Marunouchi Trust Tower N館19階,,2020年11月,,,Gサポパートナー事業部,,風評被害対策 Googleマイビジネス口コミ非表示対策
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/chargeoffice,株式会社YOLO-GO,愛知県名古屋市中区丸の内2-12-13 丸の内プラザ4F,,2024年3月,,,紹介パートナー事業,,【健康経営事業】 企業向け出張整体サービス 企業向け焼菓子配送サービス ECサイト運営 イベント実施及び運営 店舗運営 【IT事業】 ITシステム（クラウド）の選定、提案、販売、アフターフォロー ITコンサルティンング
2025/11/05 11:37:33,https://bahn-rep.com/muryoukeisaiandend/cllinekoushikiminiapp,株式会社コミュニティライン,東京都豊島区西池袋1-4-10 光ウエストゲートビル6F,,2021年5月17日,1億円,,パートナー事業部,,LINEセールスパートナー事業 デジタルマーケティング 店舗販促事業
2025/11/05 11:37:33,https://bahn-rep.com/dairiten-bosyu/asoinoah,A-StarOne International株式会社,東京都港区六本木4-8-7 六本木三河台ビル3F,,2019年10月21日,"1,780万円",,オーダースーツFC事業,,オーダースーツNoah 全国400ヶ所 オーダーシューズRio 全国25ヶ所
2025/11/05 11:37:33,https://bahn-rep.com/dairiten-bosyu/becankouhounewp,株式会社ビカンテック,大阪府大阪市中央区平野町2-2-12,,2010年4月,,,パートナー事業部,,クリーニング業 洗剤の卸売及び小売業 特殊洗剤を利用した施工店の経営 化粧品、食料品、日用雑貨の小売業
2025/11/05 11:37:33,https://bahn-rep.com/dairiten-bosyu/honbusongaihokensindansi03,損害保険診断士協会,福岡県福岡市博多区博多駅前1-23-2 ParkFront博多駅前1丁目5F-B,,,,,保険申請コンサルティング事業部,,火災保険の申請のサポート業務 火災保険申請に必要な書類等の作成
2025/11/05 11:37:33,https://bahn-rep.com/dairiten-bosyu/sherpasimp,株式会社WANDY,東京都千代田区神田神保町1-4-6 クロサワビル7F,,2022年2月,4099万6074円,,エージェント事業部,,不動産賃貸仲介／不動産売買仲介 不動産エージェント事業 不動産業務に必要な支援を行うサイト「SHERPA」の運営 宅建番号：国土交通大臣（1）10492号
2025/11/05 11:37:33,https://bahn-rep.com/dairiten-bosyu/wandysherpa,株式会社WANDY,東京都千代田区神田神保町1-4-6 クロサワビル7F,,2022年2月,4099万6074円,,エージェント事業部,35名,不動産賃貸仲介／不動産売買仲介 不動産エージェント事業 不動産業務に必要な支援を行うサイト「SHERPA」の運営 宅建番号：国土交通大臣（1）10492号
2025/11/05 11:37:34,https://bahn-rep.com/dairiten-bosyu/newnailsponkizuna,絆ホールディングス株式会社,東京都新宿区新宿6-24-20 KDX新宿六丁目ビル9F,,2008年4月10日,"5,000万円",75億円,,250名,PR事業 ソリューション事業 HR事業 コールセンター事業 美容事業
2025/11/05 11:37:34,https://bahn-rep.com/muryoukeisaiandend/10gsenyo,合同会社Numlinx,神奈川県横浜市西区浅間町1-4-3 ウィザードビル402,,2023年8月25日,,,パートナー事業部,,インターネットを利用した各種情報提供サービス Ｗｅｂサイトの企画、制作、販売、運営及び管理 ＥＣ（電子商取引）サイトの企画、制作、販売、運営及び管理 通信販売業務 情報通信システムに係る機器及び装置類の販売及びレンタル 通信及び情報処理機器の開発、製造、販売及び輸出入 コンピュータシステムの企画、開発、販売及び保守に関する業務 各種アプリケーションソフトの企画、制作、販売、運営及び管理 古物営業法に基づく古物営業 ＯＥＭ（他社ブランド製品の製造）並びにプライベートブランド商品の企画、製造及び販売 電気通信事業 電気通信工事業 アウトソーシング事業の受託及び請負
2025/11/05 11:37:34,https://bahn-rep.com/dairiten-bosyu/keieifsstpconsul,ファーストステップ株式会社,東京都目黒区自由が丘1-8-19 メルサII 4F,,2019年11月,,,コンサルティングパートナー事業部,30名（パートナー含む）,経営戦略・コンサルティング事業
2025/11/05 11:37:34,https://bahn-rep.com/shot/qbnailpfchkk,絆ホールディングス株式会社,東京都新宿区新宿6-24-20 KDX新宿六丁目ビル9F,,2008年4月10日,"5,000万円",75億円,,250名,PR事業 ソリューション事業 HR事業 コールセンター事業 美容事業
2025/11/05 11:37:34,https://bahn-rep.com/muryoukeisaiandend/omakasespraccl,株式会社オービット,東京都豊島区西池袋一丁目4番10号,,2019年12月,"1,000万円",,,,DXコンテンツ事業、MVNE事業、MVNO事業
2025/11/05 11:37:34,https://bahn-rep.com/allarea/grow-iphonerp,株式会社グロウワーク,群馬県伊勢崎市太田町1137-6,,,,,,,iPhone修理サービス業務 中古携帯端末買取／販売 データ復旧事業 スマホアクセサリー販売事業 電気通信事業法に定める電気通信事業 MVNO事業 フランチャイズ代理店業 【運営ブランド】 モバイル修理.jp G-PACK エコモバ Goodmobile
2025/11/05 11:37:34,https://bahn-rep.com/dairiten-bosyu/wagaco,株式会社ナレッジラーニング,東京都千代田区丸の内1-8-3 丸の内トラストタワー本館20階,,2020年5月1日,1億円（グループ資本金）,,パートナー事業部,324名（グループ計）,研修エンパワーメント事業 法人向けソリューション事業 店舗集客支援コンサルティング事業 ネットワークソリューション事業 アライアンス事業
2025/11/05 11:37:34,https://bahn-rep.com/dairiten-bosyu/robohon,株式会社ベネフィットジャパン,大阪府大阪市中央区道修町1丁目5-18 朝日生命道修町ビル2F,,1996年6月6日,6億56百万円（2024年4月現在）,130億65百万円（2024年3月期）,営業本部,327名（2024年4月現在）,MVNO（仮想移動体通信事業者）ならびにFVNO（仮想固定通信事業者）サービス、インターネットオプションサービス及びコンテンツ、サポートサービスの提供 ソフトバンク一次代理店業務など個人向けサービスの加入取次
2025/11/05 11:37:34,https://bahn-rep.com/muryoukeisaiandend/cdlcalljosui02,株式会社コードリック,石川県金沢市古府3-45-2,,2018年5月16日,"10,000,000円",,,,人工知能設計・開発 システム・アプリケーション開発 商品デザイン・ブランディング 法人向け設備機器開発 産業機器設計・開発
2025/11/05 11:37:34,https://bahn-rep.com/muryoukeisaiandend/alljousuisystem100pl,株式会社コードリック,石川県金沢市古府3-45-2,,2018年5月16日,"10,000,000円",,,,人工知能設計・開発 システム・アプリケーション開発 商品デザイン・ブランディング 法人向け設備機器開発 産業機器設計・開発
2025/11/05 11:37:34,https://bahn-rep.com/dairiten-bosyu/koltecbeee,株式会社ADVATEC,東京都渋谷区神宮前3-42-2 VORT外苑前3 4F,,2020年7月9日,1億6000万円,,パートナー事業部,,インフルエンサーマッチングプラットフォーム事業
2025/11/05 11:37:34,https://bahn-rep.com/dairiten-bosyu/uregi,株式会社USEN （USEN-NEXT GROUP）,東京都品川区上大崎3-1-1 目黒セントラルスクエア,,2017年6月16日,"9,641万円（グループ資本金）","1,932億円（2020年8月期連結）",,"4,845名（2020年8月期連結）",IoT PLATFORM事業 音楽配信事業 エネルギー事業 保険事業 開業、増移転支援サービス 店舗運用支援サービス 店舗通販サービス
2025/11/05 11:37:34,https://bahn-rep.com/dairiten-bosyu/rskingskasdss,合同会社アセンディア,東京都渋谷区道玄坂1-10-8 渋谷道玄坂東急ビル2F-C,,,,,パートナー事業部,,情報提供サービス・情報処理サービス業務 各種コンサルティング業務 マーケティング活動の企画・実施・支援 広告業及び広告代理店業
2025/11/05 11:37:34,https://bahn-rep.com/dairiten-bosyu/bizimo,株式会社オービット,東京都豊島区西池袋一丁目4番10号,,2019年12月,"1,000万円",,,,DXコンテンツ事業、MVNE事業、MVNO事業
2025/11/05 11:37:34,https://bahn-rep.com/dairiten-bosyu/ai247wsc,株式会社フーバーブレイン,東京都千代田区紀尾井町4-1 ニューオータニガーデンコート22F,,2001年5月8日,"796,881,200円（2025年3月31日現在）",,マーケティング部,,サイバーセキュリティソリューションの提供 テレワーク環境の構築 生産性およびクオリティオブライフの向上支援
2025/11/05 11:37:34,https://bahn-rep.com/dairiten-bosyu/newgpack,株式会社グロウワーク,群馬県伊勢崎市太田町1137-6,,,,,,,iPhone修理サービス業務 中古携帯端末買取／販売 データ復旧事業 スマホアクセサリー販売事業 電気通信事業法に定める電気通信事業 MVNO事業 フランチャイズ代理店業 【運営ブランド】 モバイル修理.jp G-PACK エコモバ Goodmobile
2025/11/05 11:37:34,https://bahn-rep.com/muryoukeisaiandend/tosaigas,東彩ガス株式会社,埼玉県越谷市越ヶ谷1-14-1,,1960年6月10日,"4億5,000万円",,都市ガス営業部 春日部ブロック 開発課,361名（2022年4月現在）,都市ガスの供給販売 LPガスの供給販売 電気の供給販売 ガス器具および関連する器具の販売 ガス配管工事 住宅等のリフォーム工事請負 冷暖房、給湯用等の熱の供給販売 発電機、発電装置および関連機器の販売 浄水器、整水器の販売、据付工事および保守管理 飲料水の販売
2025/11/05 11:37:34,https://bahn-rep.com/muryoukeisaiandend/sclpinckd,共栄電通株式会社,千葉県千葉市中央区新千葉1-7-2 ペリエPlus＋ビル1F,,,,,紹介パートナー事業,,各種営業代行
2025/11/05 11:37:34,https://bahn-rep.com/dairiten-bosyu/trakatl,株式会社トータルリンク,兵庫県神戸市須磨区天神町5丁目3-7-3,,2013年12月3日,,,,,鍵管理・重要資産管理システムの販売、設置、保守 電話工事、LAN工事、PC設定、ネットワーク機器設定、サーバー構築 各種保守管理、IT業務支援、通信コンサルティング
2025/11/05 11:37:34,https://bahn-rep.com/muryoukeisaiandend/greatsignsango,SANGO株式会社,東京都渋谷区恵比寿西1丁目10番10号 若葉西ビル4階,,2007年9月2日,1000万円,,,145名（2020年11月現在）,営業代行・テレマーケティング事業 人材育成・派遣・紹介事業 法人様向けソリューション事業 WEB製作及びWEBマーケティング事業
2025/11/05 11:37:34,https://bahn-rep.com/muryoukeisaiandend/mirable,SANGO株式会社,東京都渋谷区恵比寿西1丁目10番10号 若葉西ビル4階,,2007年9月2日,1000万円,,,145名（2020年11月現在）,営業代行・テレマーケティング事業 人材育成・派遣・紹介事業 法人様向けソリューション事業 WEB製作及びWEBマーケティング事業
2025/11/05 11:37:34,https://bahn-rep.com/dairiten-bosyu/worldcgrs,ワールドチアーズ協同組合,東京都稲城市東長沼1601-7 2F,,2020年9月14日,300万円,,パートナー事業部,,外国人技能実習生受入事業 特定技能外国人に係る職業紹介事業
2025/11/05 11:37:34,https://bahn-rep.com/dairiten-bosyu/webridgemeo,株式会社WeBridge（ウェブリッジ）,東京都新宿区西新宿1-25-1 新宿センタービル49階,,,,,代理店事業部,,デジタルマーケティング事業 WEBサイトのデザイン、制作及び運営管理事業 採用コンサルティング事業 広告代理業及び各種の宣伝に関する事業
2025/11/05 11:37:34,https://bahn-rep.com/muryoukeisaiandend/taskhub,株式会社Bocek,東京都港区芝浦3-3-6 東京科学大学キャンパス・イノベーションセンターINDEST402,,2022年6月30日,,,パートナー事業部,35名,生成AI特化メディア「PROMPTY」運営事業 生成AI特化戦略コンサルティング事業 生成AI開発事業 生成AI研修事業 Taskhub運営事業
2025/11/05 11:37:34,https://bahn-rep.com/dairiten-bosyu/ailinksbhojinkeitai,株式会社アイリンク,東京都豊島区東池袋1-32-7 大樹生命池袋ビル1F,,2024年7月3日,,,パートナー事業部,,法人向け携帯電話等の通信サービスの取次 固定通信サービスの取次 OA機器及びICT関連商品の販売 新電力サービスの取次 その他上記に関連するソリューション事業
2025/11/05 11:37:34,https://bahn-rep.com/muryoukeisaiandend/noroxdani,株式会社オーシャン（モバイルコムグループ）,東京都千代田区神田駿河台4-4-1 PMO御茶ノ水 愛媛工場：愛媛県松山市中西外1035-1,,2017年2月,"1,000万円",,法人営業部,459名（2022年4月グループ連結）,弱酸性次亜塩素酸水ノロックスの製造・販売
2025/11/05 11:37:34,https://bahn-rep.com/muryoukeisaiandend/norovirus,株式会社オーシャン（モバイルコムグループ）,東京都千代田区神田駿河台4-4-1 PMO御茶ノ水 愛媛工場：愛媛県松山市中西外1035-1,,2017年2月,"1,000万円",,法人営業部,459名（2022年4月グループ連結）,弱酸性次亜塩素酸水ノロックスの製造・販売
2025/11/05 11:37:34,https://bahn-rep.com/muryoukeisaiandend/degime,株式会社シンカリンク,北海道札幌市中央区南2条西7-8,,2017年4月5日,"3,000,000円",,Degimeパートナー事業,,アプリケーションサービスの開発・運営 街頭ビジョンの運営・管理 映像制作 SNSマーケティングコンサルタントほか
2025/11/05 11:37:34,https://bahn-rep.com/muryoukeisaiandend/tntsite,株式会社ティーネクスト （インサイトグループ）,富山県富山市総曲輪4-5-11 インサイトビル5F,,2011年,2億円（グループ資本金）,,,,Tポイント正規代理店 お仕事発見Tサイト正規代理店
2025/11/05 11:37:34,https://bahn-rep.com/dairiten-bosyu/rezildenryoku,レジル株式会社（Rezil Inc.）,東京都千代田区丸の内1-8-1 丸の内トラストタワーN館14階,,1994年11月21日,3.5億円（2024年5月27日時点）,387億円（2024年6月期）,グリーンエネルギー事業本部,209名（2024年2月末時点）,分散型エネルギー事業 グリーンエネルギー事業 エネルギーDX事業
2025/11/05 11:37:34,https://bahn-rep.com/dairiten-bosyu/octopusenergyco,TGオクトパスエナジー株式会社,東京都港区六本木1-4-5 アークヒルズサウスタワー18階,,2021年1月,7億円,,,107名（2024年10月現在）,小売電気事業
2025/11/05 11:37:34,https://bahn-rep.com/muryoukeisaiandend/nwnorox2,株式会社オーシャン（モバイルコムグループ）,東京都千代田区神田駿河台4-4-1 PMO御茶ノ水 愛媛工場：愛媛県松山市中西外1035-1,,2017年2月,"1,000万円",,法人営業部,459名（2022年4月グループ連結）,弱酸性次亜塩素酸水ノロックスの製造・販売
2025/11/05 11:37:34,https://bahn-rep.com/dairiten-bosyu/songaihokensindanshikyoukai,損害保険診断士協会,福岡県福岡市博多区博多駅前1-23-2 ParkFront博多駅前1丁目5F-B,,,,,保険申請コンサルティング事業部,,火災保険の申請のサポート業務 火災保険申請に必要な書類等の作成
2025/11/05 11:37:34,https://bahn-rep.com/muryoukeisaiandend/placetosup,プレイス株式会社,東京都港区南青山3-1-36 青山丸竹ビル6F,,2023年6月27日,,,トスアップパートナー事業部,,代理店構築及び、事業支援サービスの提供
2025/11/05 11:37:34,https://bahn-rep.com/muryoukeisaiandend/zepecyzen,株式会社ZEPE（ゼペ）,東京都千代田区神田小川町2-2 センタークレストビル7F,,2008年11月17日,"2,000万円",,パートナー事業部,127名※その他従事者217名（令和5年10月1日現在）,アウトソーシング事業 電気通信事業 ソリューション事業 スポーツ事業 エコロジー推進事業 不動産事業
2025/11/05 11:37:34,https://bahn-rep.com/muryoukeisaiandend/myuuutantstudy,MYUUU FZCO（ミュー）,"ドバイ（Building A2, IFZA, Dubai Digital Park – Dubai Silicon Oasis – Dubai）",,2023年2月,,,,20名,主要投資家：上場企業（日本）の経営者を中心とした十数名 生成AI研修事業 AXコンサルティング事業 AX人材支援事業 AIクローン事業 AIメディア事業 Web3メディア事業
2025/11/05 11:37:35,https://bahn-rep.com/muryoukeisaiandend/zepezitakuhomert,株式会社ZEPE（ゼペ）,東京都千代田区神田小川町2-2 センタークレストビル7F,,2008年11月17日,"2,000万円",,パートナー事業部,127名※その他従事者217名（令和5年10月1日現在）,アウトソーシング事業 電気通信事業 ソリューション事業 スポーツ事業 エコロジー推進事業 不動産事業
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/aorinobiz,スマートモバイルコミュニケーションズ株式会社,東京都新宿区西早稲田2-20-9 小杉ビル西早稲田,,2007年2月13日,51百万円（2023年12月末現在）グループ資本金,"3,758百万円（2023年12月末現在）連結",ソリューション営業部,,MVNO事業 電気通信事業法に定める電気通信事業 情報処理サービス業ならびに情報提供サービス業
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/bengoshihokenbn,株式会社アシロ少額短期保険,東京都新宿区西新宿6-3-1 新宿アイランドウイング4F,,2017年12月25日,608百万円（2024年4月末現在）グループ合計,,営業推進部,128名（2024年4月末現在）グループ合計,保険事業 リーガルメディア事業 派生メディア事業 HR事業
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/freelaatms03,株式会社アルバイトタイムス,東京都中央区京橋2-6-13 京橋ヨツギビル5F,,1973年10月29日,"4億5,599万円",,パートナーサポート部 セールスサポート課,190名（連結）,無料求人情報誌DOMO（ドーモ）の編集発行 求人情報サイトDOMO NET（ドーモネット）の運営 求人情報サイトJOB（ジョブ）の運営 採用管理システム（ATS）ワガシャdeDOMOの運営 人材紹介業Achieve Career（アチーヴ キャリア） 有料職業紹介（13-ユｰ304061）
2025/11/05 11:37:35,https://bahn-rep.com/muryoukeisaiandend/imobisp,アイ・モバイル株式会社,東京都渋谷区神宮前3-42-2 VORT外苑前Ⅲビル3階,,2007年8月,1億円（2020年4月現在）,,,100名（2020年4月1日現在）,情報提供サービス業 情報システムの企画、設計ならびに管理運営に関する業務 コンピューターのソフトウェアの設計、開発、販売及び保守 広告代理業 通信販売業 提携先：株式会社TKC、キャノンシステムアンドサポート株式会社、ソフトバンク株式会社、株式会社ブロードリーフ、デジタル・インフォメーション・テクノロジー株式会社、他
2025/11/05 11:37:35,https://bahn-rep.com/muryoukeisaiandend/kuchikomission,株式会社Giv-ning（ギブニング）,東京都新宿区四谷坂町10-12 ガーデンタワー37 8F,,2022年7月,,,パートナー事業部,,高評価クチコミ獲得支援ツール 「クチコミッション」運営 SaaSツールの開発、提供 代理販売・実店舗サービスへの経営支援
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/cosmosbdairiten,株式会社コスモネット,京都市中京区烏丸通四条上る笋町689番地 京都御幸ビル6階 東京都港区新橋2-6-2 新橋アイマークビル10階,,1991年5月1日（創業1979年）,"5億6,600万円","899億3,700万円（2024年3月期グループ計）",法人営業管理グループ,"2,226名（2024年3月現在）",ICTサービスプロバイダー（ショップ394店舗：2024年3月現在） 企業向けソリューション 情報通信システム
2025/11/05 11:37:35,https://bahn-rep.com/muryoukeisaiandend/kiranmiyabi,KIRAN株式会社,東京都新宿区高田馬場1丁目32-10,,2022年9月,,,代理店事業部,,5デアザフラビンを使用した健康食品の開発・販売 医療インバウンド 医療AI事業 健康食品のOEM
